shop_num_1,shop_name,shop_addr_1,shop_addr_2,shop_city,shop_state,shop_zip,shop_addr_1_m,shop_addr_2_m,shop_city_m,shop_state_m,shop_zip_m,shop_phone_1,shop_phone_2,shop_email,shop_website,shop_owner,shop_hours,shop_mdse
15767,Stitichm Up Supplies,945 Millrace Way,,Sugar Hill,GA,30518,,,,,,(678) 523-8860,,Stitchmupsupplies@yahoo.com,Stitchmup.com,Donna Stitt,,C
14552,Everything Cross Stitch,2445 E. River Road,,Dayton,OH,45439,,,,,,(800) 800-8517,(937) 294-1989,sales@everythingcrossstitch.com,www.everythingcrossstitch.com,Mark Miller,M-F 8-5,C
4459,Stitchery X-press,175 North 2050 East,,Layton,UT,84040,,,,,,18017211351,,sales@stitcheryxpress.com,www.stitcheryxpress.com,Cindy,,C
4831,Stoney Creek Collection / Marilyn's Needlwork,"4336 Plainfield, NE Suite H",,Grand Rapids,MI,49525,,,,,,(616) 363-4858,(800) 243-1410,xstitch@stoneycreek.com,www.stoneycreek.com,,,C
4425,Keepsakes ,11423 Lebanon Road,,Cincinnati,OH,45241,11423 Lebanon Road,,Sharonville,OH,45241,(513) 563-6845,,barbara@yourkeepsakes.com,www.yourkeepsakes.com,Barbara Hils,"MTuWF 11-5, Sa 10-4",C
15753,Just Add Needles ,107 First Avenue NE,,Arab,AL,35016,,,,,,(256) 529-2766,,marie@justaddneedles.net,https://www.facebook.com/JustAddNeedles/,Marie Bellman,By appt. only,C
4433,Cross Stitch Haven,115 N 2nd Street,,Guthrie,OK,73044,,,,,,(405) 466-8210,,crossstitchhaven@gmail.com,,Kelly Jackson,"Tu-F 10-5, Sa 10-4",C
4347,"Accents, Inc. (Accents in Stitches)","4500 Shores Drive, Suite 103",,Metairie,LA,70006,"4500 Shores Drive, Suite 103",,Metairie,LA,70006,(504) 888-2458,,accentsinc@gmail.com ,https:www.accentsinc.com,Gayle Horton,"Tu-F 10-5, Sa 10-3",C
12849,Reflections Framing & Stitching,"1620 Wilshire Drive, Suite 101",,Bellevue,NE,68005,"1620 Wilshire Drive, Suite 101",,Bellevue,NE,68005,(402) 331-1740,,julie@reflections-framing.com,http://www.reflections-framing.com,Julie McConnell,"T-W-F 11-5,  Sa 10-2 Closed Monday/Thursday",C
14875,AC Needlework,,,,,,,,,,,,,,www.acneedlework.com,Anne Cole,,C
4266,The Strawberry Sampler,"930 E. Boot Road, Suite 300",,West Chester,PA,19317,"930 E. Boot Rd, Suite 300",Springwater Plaza,West Chester,PA,19317,(610) 459-8580,(800) 634-6106,shop@strawberrysampler.com,https://www.strawberrysampler.com/,Ruth Ellen Duncan,"ThF 10-5, Sa 10-3",C
3806,Dyeing to Stitch,"5312 Kemps River Drive, Suite 102",,Virginia Beach,VA,23464,,,,,,(757) 366-8740,,info@dyeing2stitch.com,www.dyeing2stitch.com,Ann Robbins and Pat Ryan,"TuWThF 10-2, Sa 10-4",C
10278,The Cottage Needle,,,Tulsa,OK,,,,,,,,,thecottageneedle@yahoo.com,https://www.etsy.com/shop/thecottageneedle,Rachelle Murphy,,C
15774,Crazy Annie's Stitchin,3017 W. Sherman Avenue,,Waukegan,IL,60085,,,,,,(847) 636-4716,,crazyanniesstitchin@yahoo.com,Bonanza.com/crazyanniesstitchin,Annie Miller,,C
3720,Mindy's Miras,820 Lee Ave,,Houma,LA,70360,821 Lee Ave,,Houma,LA,70360,(985) 688-6987,,mindy821@bellsouth.net,,Mindy Daigle,By Appointment ,C
4885,The Stitcher's Garden,"2801 Eubank Blvd. NE, Suite I",,Albuquerque,NM,87112,"2801 Eubank Blvd. NE, Suite I",,Albuquerque,NM,87112,(505) 881-6601,,mystitchersgarden@gmail.com,,Laurie Redel,Tu-Sa 12-4,C
4278,House of Stitches,"1700 Lincolnway Place, Suite 4",,La Porte,IN,46350,"1700 Lincolnway Place, Suite 4",,La Porte,IN,46350,(219) 326-0544,(800) 455-8517,mail@houseofstitches.com,https://www.houseofstitches.com,Sarah Baumann,Please contact for hours,C
14643,Needle Case Goodies,,,,,,,,,,,,,needlecasegoodies@gmail.com,www.needlecasegoodies.com,Nancy,,C
4590,Cross Stitch Station,"520 W. Broad Street, Suite D",,Waynesboro,VA,22980,"520 W. Broad Street, Suite D",,Waynesboro,VA,22980,(540) 943-7742,,crosstitch_adelphia1@comcast.net,https://www.facebook.com/pages/category/Arts---Crafts-Store/Cross-Stitch-Station-158484630851772/,Terry Thompson,"Tu-F 10-5, Sa 10-4",C
4383,Lazy Daisy Stitchery,218 Merrick Road,,Rockville Centre,NY,11570,218 Merrick Road,,Rockville Centre,NY,11570,,,lazydaisy17@verizon.net,www.lazydaisystitchery.com,Diana Burns,"TuWF 10-5, Th 10-7, Sa 10-4",C
4242,The Crafty Framer,12499 Seminole Blvd,,Largo,FL,33778,12499 Seminole Blvd,,Largo,FL,33778,(727) 518-1400,,craftyframer@aol.com,http://www.craftyframer.com,Peggy and Rick Wittlake,"Tu-F 10-5, Sa 9:30-2",C
4942,Stitch 'N Frame,4220 Bluffton Road,,Ft. Wayne,IN,46809,4220 Bluffton Road,,Ft. Wayne,IN,46809,(260) 478-1301,,greglamar4305@gmail.com,http://www.stitchnframes.com,Greg LaMar,"T-F 9:30-5:30, Sa 9:30-4",C
4358,"Tomorrow's Heirlooms, Inc.",20 N. Park Blvd.,,Glen Ellyn,IL,60137,20 N. Park Blvd.,,Glen Ellyn,IL,60137-5840,(630) 790-1660,,tomheir@gmail.com,http://www.tomheir.com,Pamela Douda,"M-F 10-3, Sa 10-2",C
3554,CC and Company,"1701 SW US Highway 40, Suite 102",,Blue Springs,MO,64015,"1701 SW US Highway 40, Suite 102",,Blue Springs,MO,64015,(816) 229-2950,,ccco7471@sbcglobal.net,www.ccandcompanybluespgs.com,Cathie Cook,"Tu-F 9:30-5, Sa 9:30-3",C
4273,"Cross My Heart, Ltd",1141 Kenny Centre Mall,,Columbus,OH,43220,,,,,,(614) 442-0820,,crsmyhrtlt@aol.com,https://www.facebook.com/CrossMyHeartColumbus/?ref=page_internal,Jennie Stokley and Carol Grant,Tu-Sa 10-5,C
4342,Country Crafts,2200 Reservoir Road,,Greeley,CO,80631,,,,,,(970) 353-1774,,countrycraftsontheinternet@yahoo.com,www.countrycraftsandsupplies.com ,Sherry Baker,"Tu-F 10-5, Sa 10-4",C
4302,"Just Stitching, Inc.",13211 Prospect Road,,Strongsville,OH,44149,,,,,,(440) 572-9777,,just.stitching13211@gmail.com,www.facebook.com/juststitching,Shelly Hronec,Tu-Sa 12-5,C
4252,The Rocking Horse,33305 Grand River Avenue,,Farmington,MI,48336,33305 Grand River Avenue,,Farmington,MI,48336,(248) 474-3113,,jackie@therockinghorse.com,www.therockinghorse.com,Barb & Jean Osman,"M 11-5, T-F 10-5, Sa 10-3",C
14558,Mary Jane's Cross N' Stitch,"120 E. FM544, Suite 72, #294",,Murphy,TX,75094,,,,,,(800) 334-6819,,maryjanescs@verizon.net,http://www.maryjanes.com/,,,C
17237,Southern Past-Times,4333 Lee Highway,,Troutville,VA,24175,4333 Lee Highway,,Troutville,VA,24175,(540) 992-4126,,southernpast-times@hotmail.com,https://www.facebook.com/SouthernPastTimes/,Mary & Jason Hill,Sat 11-4,C
16991,Stitching Favourites,Online only,,Staten island,NY,10305,Online only,,Staten island,NY,10305,(347) 424-7978,,madameneedle@gmail.com,https://madameneedle.com/,,24/7 online,C
17928,Big Bad Wolf's House of Stitches,234 Harding Way E,,Galion,OH,44833,PO Box 685,,Galion,OH,44833-0685,(419) 468-1042,,amie@bigbadwolfshouseofstitches.com,https://www.bigbadwolfshouseofstitches.com,Amie C. Wolf,"M-F 8-6, Sa 8-5",C
17906,Hometown Needleworks,2652 N. Packerland Drive,,Green Bay ,WI,54303,2652 N Packerland Dr,,Green Bay ,WI,54303,(920) 544-0195,,Hometownneedleworks@gmail.com,https://www.hometownneedleworks.com,Renita Dompier,"MTh 10-12:30/1:30-5, FSa 10-5, Su 10-3",C
16994,The Cranberry Bog Cottage,1132 Poplar Street,,Terre Haute,IN,47807,1132 Poplar Street,,Terre Haute,IN,47807,(812) 243-5264,,cranberrybogcottage@gmail.com,https://www.facebook.com/Cranberry-Bog-Cottage-107620391001248/,Marilyn Oehler,"Tu-F 10-4, Sa 10-4",C
18205,Bee Youtiful Sip and Stitchery,"11447 2nd Street, Ste 5",,Roscoe,IL,61073,,,,,,(815) 242-1165,,beeyoutifulsipandstitchery@gmail.com,https://www.beeyoutifulsipandstitchery.com,Brett,"Tu 1-5, WF 10-2, Th 1-7, Sa 10-3",C
16071,The Starlight Stitchery,"230 SW 3rd Street, Suite 202",,Corvallis,OR,97333,230 SW 3rd Street,,Corvallis,OR,97333,(541) 758-4152,,star@starlightstitch.com,http://www.starlightstitch.com,Amanda Turk & Pamela Shigeoka,24/7 - Online Only,C
17913,Barefoot Needleart ,700 US Highway 17 Business,Suite H,Surfside Beach,SC,29575,,,,SC,,(843) 232-7017,,barefootneedleart@gmail.com,https://barefootneedleart.com,Amy and Memory Baker,"T-F 10-4, Sa 10-3",C
16998,FAD Needlework ,6890 Autumn Oaks Drive,,Olive Branch ,MS,38654,6890 Autumn Oaks Drive,,Olive Branch ,MS,38654,(662) 408-4769,,Info@farawaydesigns.net,https://FADNeedlework.com,Mary Lisa Bowers,"WFSa 10-5, Th 10-8",C
17530,Colorado Cross Stitcher,428 W. 67th Street,,Loveland,CO,80538,428 W 67th St,,Loveland,CO,80538,(970) 238-6358,,hello@coloradocrossstitcher.com,https://www.coloradocrossstitcher.com/,Sheri Berger,"W 6-8, Th-Sa 10-5",C
18128,Threaded Needle,"1 Hollywood Drive, #1",,North Grafton,MA,1536,"1 Hollywood Drive., #1",,North Grafton,MA,1536,(508) 859-6951,,alice@threadedneedle.org,https://threadedneedle.org,Alice Mask,"Su 12-4, Tu 11-6, W 11-6, Th 11-6, F 11-5, Sa 11-4",C
17966,GaRon Stitchery,863 E. Roy Parker Road,,Ozark,AL,36360,863 E Roy Parker Road,,Ozark,AL,36360,(954) 629-0042,,garonstitchery@gmail.com,https://www.garon-stitchery.com,Gary Hovatter,"M-Th 10-6, F 10-7, Sa 9-6",C
17915,The Crafty Grimalkin,168 Center Street,,Bangor,ME,4401,168 Center Street,,Bangor,ME,4401,(207) 404-4300,,Reese@craftygrimalkin.com,https://craftygrimalkin.com,,"Tu-F 10-5, Sa 10-4",C
5172,New England Fabrics and Decorating Center,55 Ralston Street,,Keene,NH,3431,,,,,,(603) 352-8683,,info@newenglandfabrics.com,www.newenglandfabrics.com,Ron Parodi,M-Sa 9:30-4,"C,E,HE,M,ME,N,Q,S,W,Y"
7903,"People, Places, & Quilts",129 W. Richardson Avenue,,Summerville,SC,29483,,,,,,(843) 871-8872,,email@ppquilts.com,www.ppquilts.com,Diane Frankenberger,M-Sa 10-5:30,"C,E,HE,M,ME,Q"
7277,Brubaker Sewing Center,N14590 County Highway O,,Withee,WI,54498,,,,,,(715) 229-2851,,,justplainbusiness.com/brubakers-sewing-furniture/,John & Lavina Brubaker,"M-F 8-6, Sa 8-4","C,E,HE,M,N,Q"
18170,Creative Pursuits Quilting & More,3053 New Germany Road,,Ebensburg,PA,15931,3053 New Germany Rd,,Ebensburg,PA,15931,(814) 846-5268,,Contact@creativepursuitsquilting.com,https://creativepursuitsquilting.com,Carla and Kayla,"MTuWF10-5, Th 10-7, Sa 10-3","C,E,HE,M,N,Q,Y"
4129,Erica Wilson Needle Works,25 Main Street,,Nantucket,MA,2554,25 Main Street,,Nantucket,MA,2554,(508) 228-9881,,shop@ericawilson.com,www.ericawilson.com,"Vanessa Diseril and Manager, Heidi Weddendorf",Winter hours: M-Su 10-6; Summer Hours: M-Su 9-9,"C,E,HE,N"
18177,Cross Stitch Oasis Macon,114 Wesleyan Way,,Macon,GA,31210,114 Wesleyan Way,,Macon,GA,31210,,,info@crossstitchoasis.com,https://www.crossstitchoasis.com,,,"C,E,HE,N"
18236,Honey Stitch LLC,111 N 5th Street,,Moberly,MO,65270,,,,,,(660) 372-8486,,queenbee@honeystitchllc.com,https://www.facebook.com/profile.php?id=61554559811585,,MTuThFSa 10-5,"C,E,HE,N,Q"
16057,Humble Stitch,"2 N. 2nd Street,  #102",,Newport,PA,17074,,,,,,(717) 636-0879,,shelly@humblestitch.com,www.humblestitch.com,Shelly Matter,"W 10-4, Th 10-5, FSa 10-4, Su 10-2","C,E,HE,N,Q,Y"
12367,Surrey Road Quilt Shop,3681 E. Surrey Road,,Clare,MI,48617,,,,,,(989) 386-3043,,,,Simon & Rebecca Miller,M-Sa 9-5:30,"C,E,HE,Q"
12917,The Knothole LLC,947 E. Colorado Blvd.,,Spearfish,SD,57783,947 E. Colorado Blvd.,,Spearfish,SD,57783,(605) 717-5668,,lana.wenzel@icloud.com,https://www.facebook.com/The.Knothole.Spearfish?rf=116201165108141,Lana Wenzel,"M-F 9-6, Sa 9-4, Su 12-4","C,E,HE,Q,Y"
15927,The Local Yarn Store,57 Academy Street,,South Orange,NJ,7079,,,,,,(973) 821-5005,,help@thelocalyarnstore.com,www.thelocalyarnstore.com,Irina,"TuWTh 11-6, F 1-8, SaSu 11-5","C,E,HE,S,W,Y"
8141,The Tinsmith's Wife,405 7th Street,,Comfort,TX,78013,405 7th Street,,Comfort,TX,78013,(830) 995-5539,,tinsmithswife@gmail.com,www.tinsmithswife.com,Wendy Solberg,"W-Sa 10-5, Su 12-5","C,E,N,Y"
2453,The Quarter Stitch,629 Chartres Street,,New Orleans,LA,70130,629 Chartres Street,,New Orleans,LA,70130,(504) 522-4451,,hello@quarterstitch.net,www.quarterstitch.com,Jill Wagner and Chelle Wabrek ,M-Su 10-6,"C,E,N,Y"
1064,A Stitch In Time,5724 St. Augustine Road,,Jacksonville,FL,32207,,,,,,(904) 731-4082,,stitchknitjax@aol.com,www.astitchintime.com,Susan Pritchett,"Tu-F 1-5, Sa 1-4","C,E,N,Y"
12493,Common Threads,322 N. Second Street,,Apollo,PA,15613,322 N. Second Street,,Apollo,PA,15613,(412) 877-1941,,commonthreads356@gmail.com,,Sharon Thompson,WFSa 10-2,"C,E,Q"
4739,Cedar Chest,201 Main Street,,Williston,ND,58801,,,,,,(701) 572-5977,,,www.facebook.com/TheCedarChest,Diane Satermo,M-F 10:30-5 Sa 10-2,"C,HE"
4349,Blueberry Hill Stitchery,"880 Mull Avenue, Suite 101",,Akron,OH,44313,"880 Mull Ave, Ste 101",,Akron,OH,44313,(330) 864-9688,,,https://www.facebook.com/blueberryhillstitchery,Marlys Hershberger,MTuThF 10-4,"C,HE"
3777,Unique Lee Yours Cross-Stitch and Needlework,3921 Highland Avenue,,Grants Pass,OR,97526,3921 Highland Avenue,,Grants Pass,OR,97526,(541) 476-6229,,,https://www.UniqueLeeYours.com,Lee Farmer,Tu-F 10-3:30 call/text to confirm,"C,HE"
17029,The Stitchin' Post,6673 Evans Street,,Rosepine,LA,70659,8759 Main Street,,DeRidder,LA,70634-8957,(337) 462-0076,,dsolinsky@suddenlink.net,https://www.facebook.com/pages/category/Shopping---Retail/The-Stitchin-Post-100791044943232/,Darla Solinsky,"M-W 11-5, Sa 10-2","C,HE"
17900,Colour and Cotton Needleworks ,14545 Manchester Road,,St. Louis,MO,63011,14545 Manchester Road,,St. Louis,MO,63011,(314) 882-6481,,help@colourandcotton.com,https://www.colourandcotton.com/,Angela Santarpio,"W 10-5,  Tu 10-4 ,F 10-4, Sa 10-3","C,HE"
4305,Panda's Crossing,"400 S. Main Street, Suite G",,Mauldin,SC,29662,,,,,,(864) 963-0600,,pandascros@aol.com,https://www.facebook.com/PandasCrossing/,Donna Hughes,"TuWF 11-6, Sa 10-5","C,HE"
4378,The Silver Needle,6068 S. Sheridan Road,,Tulsa,OK,74145,6068 S. Sheridan Road,,Tulsa,OK,74145,(918) 493-1136,(888) 543-7004,lindy@thesilverneedle.com,www.thesilverneedle.com,Lindy Legener,"M-F 10-6, Sa 10-4","C,HE"
4400,Martha's Heirlooms,315 W. Main Street,,Mason,OH,45040,315 W. Main Street,,Mason,OH,45040,(513) 229-7340,(888) 277-6432,heirlooms@fuse.net,http://www.marthasheirlooms.com,Martha Bailey,"TuWTh 10-4, Sa 10-3","C,HE"
17040,Notforgotten Farm,3530 Tye River Road,,Amherst,VA,25421,3530 Tye River Road,,Amherst,VA,25421,(434) 263-6508,,notforgottenfarmwitch@gmail.com,https://www.farmhousenotforgotten.blogspot.com/,Lori Brechlin, please call for updated hours,"C,HE"
15750,Primitive Homespuns Wool and Needleworks,303 E. Patrick Street,,Frederick,MD,21701,303 E. Patrick St.,,Frederick,MD,21701,(240) 608-2136,,Phwoolandneedle@gmail.com,www.phwoolandneedle.com,Kathy Makers,"WThFSa 10-4, Su 11-3","C,HE"
4403,Stitches n' Blooms,3033 US Highway 23 South,,Alpena,MI,49707,3033 US Highway 23 South,,Alpena,MI,49707,(989) 354-3739,,infostitchesnblooms@yahoo.com,https://www.facebook.com/stitchesnblooms/,Karen Gruschke,M-F 10-5,"C,HE"
18201,Wild Cactus Needlework and Framing,2220 West Park Row Drive,,Arlington,TX,76013,,,,,,(682) 252-4591,,cara@wildcactusneedlework.com,https://wildcactusneedlework.com/?srsltid=AfmBOopjNPILtFl2V6HSeVBaz4ZIDaxpdevyyPOinHie40KfC385ZT3q,Cara Baldera,Tu-Sa 10-4 or by appt,"C,HE"
4369,The Stitchery Nook,635 Main Street,,Osage,IA,50461,635 Main Street,,Osage,IA,50461,(641) 732-5329,,stitcherynook@gmail.com,https://www.cross-stitch-usa.com,Elizabeth Clark ,"W-F 9:30-5, Sa 9:30-4","C,HE"
3348,Attic Needlework & Collectibles,"1837 W. Guadalupe, Suite 109",,Mesa,AZ,85202,,,,,,(480) 898-1838,(888) 942-8842,samplers@atticneedlework.com,www.atticneedlework.com,Jean Lea,"FSa 10-4, TuWTh by appt.","C,HE"
4326,Shepherd's Bush,220 24th Street,,Ogden,UT,84401,220 24th Street,,Ogden,UT,84401,(801) 399-4546,,bushworks2@aol.com,https://www.shepherdsbush.net,Tina Herman and Teri Richards,"M-F 10-4:30, Sa 11:30-3:30","C,HE"
4391,Starla's Stitch 'N Frame,122 S. Main Street,,Greensburg,KS,67054,122 S. Main Street,,Greensburg,KS,67054,(620) 723-3275,,mcclain1970@yahoo.com,https://www.facebook.com/pages/Starlas-Stitch-N-Frame,Starla McClain,"Tu-Th 8-5, Sa by appt.","C,HE"
17713,Riverview Stitching,3 N. Macomb Street,,Monroe,MI,48162,1030 N Macomb St,,Monroe,MI,48162,(734) 344-7042,,Hello@riverviewstitching.com,https://riverviewstitching.com/,"Aury Morillo, Laura Morillo","Tu-F 11-4, Sa 11-3","C,HE"
4298,"Crafty Ewe, Inc.",8035 Broadview Road,,Broadview Heights,OH,44147,8035 Broadview Rd Ste A,,Broadview Heights,OH,44147-1278,(440) 838-1600,,craftyewestitch@gmail.com,https://www.thecraftyewe.net/,Jeanine Greenbank,Tu-Sa 10-4:30,"C,HE"
17912,Floss & Needle,206 S. Centennial Drive,,McPherson,KS,67460,206 S Centennial Dr.,,McPherson,KS,67460,(620) 937-5143,,Contact@flossandneedle.com,https://www.flossandneedle.com,Amberle Fowler,"TuWF 10-5:30, Th 10-7, Sa 9-4","C,HE"
17534,With Needle & Thread,126 N. Main Street,,Granby,MO,64844,126 N. Main Street,,Granby,MO,64844,(417) 825-3444,,with.needle.thread@gmail.com,https://with-needle-thread.square.site/,Julie Johnston,"W-F 10-5, Sa 9-2; check Facebook for holiday hours","C,HE"
17904,Liberty Hill Needleworks,"4854 Longhill Road, Suite 8",,Williamsburg,VA,23188,"4854 Longhill Road, Ste. 8",,Williamsburg,VA,23188,(757) 333-0238,,sales@libertyhillneedleworkscom,https://www.libertyhillneedleworks.com,Susan MacKenzie,"TuThF 10-5, W 10-7, Sa 10-4","C,HE"
13747,Wise Monkey Quilting,"501 Highway 39N, Suite C",Suite C,Denison,IA,51442,"501 Hwy 39 N, Suite C",Suite C,Denison,IA,51442,(712) 393-7979,,wisemonkeyquilting@gmail.com,http://www.wisemonkeyquilting.com,Amy Healy,"M-F 9-5, Sa 9-3","C,HE,M,ME,N,Q"
12011,Quilted Ewe,37 Greenwoods Road,,New Hartford,CT,6057,PO Box 322,,New Hartford,CT,6057,(860) 379-3260,,quiltedewe@gmail.com,http://www.quiltedewe.com,Mary F. Watt,"W-Sa 9-4, Su 10-3","C,HE,M,ME,N,Q"
8985,The STITCH,206 N. Wilson Avenue,,Jefferson,IA,50129,206 N. Wilson Avenue,,Jefferson,IA,50129,(515) 386-2014,,thestitch217@gmail.com,https://www.thestitchiowa.com/,Tracy Bosshart,"M-F 10-5:30, Sa 10-4","C,HE,M,ME,N,Q"
3482,The Creative Needle,"6905 S. Broadway, Suite 113",,Littleton,CO,80122,"6905 S. Broadway, Ste 113",,Littleton,CO,80122,(303) 794-7312,,needle@thecreativeneedle.com,http://www.thecreativeneedle.com,Marge Serck,check website for hours,"C,HE,M,ME,N,Q"
16460,Sew Unique Quilting and Fabrics,8001 Highway 6,,Hitchcock,TX,77563,8001 Highway 6,,Hitchcock,TX,77563,(409) 440-8624,,yoewaters@aol.com,https://www.shop@sewuniquefabrics.com,Dr. Yolanda Waters,Tu-Sa 10-3,"C,HE,M,ME,N,Q"
7918,The Fabric Bin / Sander's Sew-N-Vac,111 S. Main Street,,Aberdeen,SD,57401,111 S. Main Street,,Aberdeen,SD,57401,(605) 225-4203,,shirelle@sanderssewnvac.com,http://www.thefabricbin.com,Greg Sander,M - F 9-4 Call for weekend hours,"C,HE,M,ME,N,Q"
14038,Threaded Needle,106 E. Lauderdale Street,,Tullahoma,TN,37388,106 E. Lauderdale Street,,Tullahoma,TN,37388,(931) 455-8543,,colleen@threadedneedlesewing.com ,http://www.threadedneedlesewing.com/,Colleen Bakke,"M-F 9-5, Sa 9-1","C,HE,M,ME,N,Q"
14750,Pieces of Love Quilt Shop,2313 Lincoln Street,,Oroville ,CA,95966,2313 Lincoln St,,Oroville ,CA,95966,(530) 353-3862,,piecesoflovequiltshop@gmail.com,https://piecesoflovequiltshop.com,Pieces Of Love,"Tu-F 10-5, Sa 10-2","C,HE,M,ME,N,Q"
17803,Calliope Quilts,4020 Chicago Drive SW,,Grandville ,MI,49418,4020 Chicago Drive SW,,Grandville ,MI,49418,(616) 379-9319,,Info@calliopequilts.com,https://www.calliopequilts.com,Tara Pezzino,"MTuTh F 10-5, W 10-7, Sa 10-4","C,HE,M,ME,N,Q"
13355,Carroll's Quilting,115 W. Main Cross Street,,Greenville,KY,42345,115 W. Main Cross Street,,Greenville,KY,42345,(270) 338-2954,,,,Amanda Boyd,M-F 10-4,"C,HE,M,ME,N,Q,S,W,Y"
18043,Fabricated For You Craft Store,1081 NJ-37,,Toms River,NJ,8755,1081 NJ-37w,,Toms River,NJ,8755,(732) 608-2040,,info@fabricatedforyou.com,https://fabricatedforyou.com,Donna,"M-Th 10-7,  F 10-8,  Sa 10-7,  Su 10-6","C,HE,M,ME,N,Q,S,W,Y"
16840,Hartland Quilt Shop,9532 E. Highland Road,,Hartland,MI,48843,9532 E. HIGHLAND RD,,Howell,MI,48843,(810) 844-4060,,hartlandquiltshop@gmail.com,https://www.hartlandquiltshop.com,Emily Lauren,"MWF 9-5, TuTh 9-7, SaSu 10-4","C,HE,M,ME,N,Q,W,Y"
17652,Blue House Quilt and Craft,1213 S. 1st St.,,Union City,TN,38261,PO Box 62,,Trimble,TN,38259,(731) 297-2000,, bluehousequiltandcraft@gmail.com,http://bluehousequiltandcraft.com/,Angie,"MTuThF 10-5, Sa 10-2","C,HE,M,ME,N,Q,W,Y"
